Ticker,Buy/Sell,Date,Price
WMB,Buy,2024-01-18,33.94
NEE,Buy,2024-01-18,57.96
VICI,Buy,2024-01-18,30.56
SYF,Buy,2024-01-18,35.99
DOW,Buy,2024-01-18,52.58
DE,Buy,2024-01-18,379.1
LYB,Buy,2024-01-18,92.89
CMI,Buy,2024-01-18,232.78
PFG,Buy,2024-01-18,77.16
CTVA,Buy,2024-01-18,44.69
AWK,Buy,2024-01-18,127.99
CMCSA,Buy,2024-01-18,42.11
WRK,Buy,2024-01-18,40.41
ITW,Buy,2024-01-18,250.38
EMR,Buy,2024-01-17,92.28
IDXX,Buy,2024-01-17,516.23
PCG,Buy,2024-01-17,16.95
MTB,Buy,2024-01-17,129.37
KEY,Buy,2024-01-17,13.67
HPQ,Buy,2024-01-17,28.81
PYPL,Buy,2024-01-17,57.42
EL,Buy,2024-01-17,126
HBAN,Buy,2024-01-17,12.11
LULU,Buy,2024-01-17,469.18
HAS,Buy,2024-01-17,46.53
FCX,Buy,2024-01-17,38
BAC,Buy,2024-01-17,31.72
CMA,Buy,2024-01-17,52.3
BALL,Buy,2024-01-17,54.82
HON,Buy,2024-01-17,196.75
JCI,Buy,2024-01-17,52.2
BEN,Buy,2024-01-17,27.35
BBY,Buy,2024-01-17,71.16
CFG,Buy,2024-01-17,31.59
FSLR,Buy,2024-01-17,145.95
USB,Buy,2024-01-17,41.35
CCI,Buy,2024-01-17,109.16
CRL,Buy,2024-01-17,204.35
AVB,Buy,2024-01-17,177.45
ROK,Buy,2024-01-17,295.37
MGM,Buy,2024-01-16,42
DRI,Buy,2024-01-16,156.53
RL,Buy,2024-01-16,136.75
HPE,Buy,2024-01-16,15.55
EBAY,Buy,2024-01-16,40.82
MS,Buy,2024-01-16,86.74
DAL,Buy,2024-01-16,38.14
WBA,Buy,2024-01-16,23.17
WFC,Buy,2024-01-16,46.77
KMX,Buy,2024-01-16,68.87
BWA,Buy,2024-01-16,32.57
RF,Buy,2024-01-16,17.99
IQV,Buy,2024-01-12,215.92
OTIS,Buy,2024-01-12,86.52
MKC,Buy,2024-01-12,66.27
TSLA,Buy,2024-01-12,220.08
ALB,Buy,2024-01-12,128.79
AES,Buy,2024-01-12,18.18
WBD,Buy,2024-01-12,10.67
PARA,Buy,2024-01-12,13.31
DTE,Buy,2024-01-12,108.82
SBAC,Buy,2024-01-12,243.11
RHI,Buy,2024-01-11,80.55
NEM,Buy,2024-01-11,37.98
TRGP,Buy,2024-01-10,83.97
MOS,Buy,2024-01-10,33.88
GL,Buy,2024-01-10,119.11
ES,Buy,2024-01-10,57.35
APA,Buy,2024-01-10,32.91
BA,Buy,2024-01-09,225.66
DLR,Buy,2024-01-08,130.47
CDNS,Buy,2024-01-08,254.9
NXPI,Buy,2024-01-08,207.3
ROP,Buy,2024-01-05,525
ETSY,Buy,2024-01-05,76
UBER,Buy,2024-01-05,58.11
VFC,Buy,2024-01-05,16.77
GNRC,Buy,2024-01-05,115.27
PCAR,Buy,2024-01-05,93.43
CPRT,Buy,2024-01-04,46.72
IT,Buy,2024-01-04,427.2
NOW,Buy,2024-01-04,674.77
LUV,Buy,2024-01-04,27.37
CCL,Buy,2024-01-04,16.35
AAL,Buy,2024-01-04,13.01
NTAP,Buy,2024-01-03,86.2
SNPS,Buy,2024-01-03,496.46
AAPL,Buy,2024-01-03,184.22
DECK,Buy,2024-01-02,664.85
PEG,Buy,2023-12-22,60.71
ELV,Buy,2023-12-21,461.18
NOC,Buy,2023-12-21,458.6
MDLZ,Buy,2023-12-21,69.62
HSY,Buy,2023-12-21,179.75
BG,Buy,2023-12-21,101.59
UNH,Buy,2023-12-19,524.59
CME,Buy,2023-12-18,208.12
EXC,Buy,2023-12-18,35.39
WTW,Buy,2023-12-18,238.32
AEE,Buy,2023-12-18,72.01
MSI,Buy,2023-12-18,311.64
MMC,Buy,2023-12-15,188.59
AJG,Buy,2023-12-15,220.55
PGR,Buy,2023-12-15,151.68
MCK,Buy,2023-12-15,439.39
EG,Buy,2023-12-15,358.38
BRO,Buy,2023-12-15,70.12
CAH,Buy,2023-12-15,102.05
CBOE,Buy,2023-12-15,172.06
PEP,Buy,2023-12-11,167.44
MNST,Buy,2023-12-11,54.53
HOLX,Buy,2023-12-11,68.37
TYL,Buy,2023-12-08,400.79
ACGL,Buy,2023-12-07,80.02
CEG,Buy,2023-12-07,113.26
FDS,Buy,2023-12-07,444.01
BF-B,Buy,2023-12-07,54.13
EOG,Buy,2023-12-07,120.32
PXD,Buy,2023-12-06,224.36
ANSS,Buy,2023-12-06,282
FANG,Buy,2023-12-06,148.74
LYV,Buy,2023-12-06,81.9
CTRA,Buy,2023-12-06,25.19
SBUX,Buy,2023-12-05,97.38
TXT,Buy,2023-11-30,75.03
LVS,Buy,2023-11-30,45.5
JBL,Buy,2023-11-30,115.51
GIS,Buy,2023-11-29,63.35
J,Buy,2023-11-22,123.58
CF,Buy,2023-11-21,76.7
WMT,Buy,2023-11-17,51.98
VRTX,Buy,2023-11-16,350.72
GILD,Buy,2023-11-10,75.46
CI,Buy,2023-11-10,289.24
EQT,Buy,2023-11-09,40.09
HUM,Buy,2023-11-03,478.46
VFC,Buy,2023-11-02,13.3
DD,Buy,2023-11-02,67.44
VRSN,Buy,2023-10-30,194.01
ABBV,Buy,2023-10-30,140.67
META,Buy,2023-10-27,294.48
AAPL,Buy,2023-10-27,166.91
ANET,Buy,2023-10-27,171.47
CHTR,Buy,2023-10-27,373.01
SMCI,Buy,2023-10-27,248
HON,Buy,2023-10-26,178.58
TRMB,Buy,2023-10-26,47.29
AMAT,Buy,2023-10-26,131.11
BIIB,Buy,2023-10-26,248.41
LRCX,Buy,2023-10-26,589.1
EXPD,Buy,2023-10-26,108.68
ODFL,Buy,2023-10-26,184.64
CSX,Buy,2023-10-25,29.51
IT,Buy,2023-10-25,335.75
PNR,Buy,2023-10-25,58.51
LKQ,Buy,2023-10-25,47.08
WTW,Buy,2023-10-24,204.18
AZO,Buy,2023-10-24,2434.11
CTVA,Buy,2023-10-24,48.45
PH,Buy,2023-10-24,372.47
INTC,Buy,2023-10-24,33.64
NTAP,Buy,2023-10-24,73.31
C,Buy,2023-10-24,38.92
APD,Buy,2023-10-24,275.9
MCHP,Buy,2023-10-24,75.09
CTLT,Buy,2023-10-23,41.72
IPG,Buy,2023-10-23,27.68
ENPH,Buy,2023-10-23,98
PKG,Buy,2023-10-23,144.83
FTNT,Buy,2023-10-23,56.01
WRK,Buy,2023-10-23,34.08
ABNB,Buy,2023-10-23,116.48
DFS,Buy,2023-10-23,81.47
AKAM,Buy,2023-10-23,103.84
KEY,Buy,2023-10-23,9.82
MPWR,Buy,2023-10-23,416.08
URI,Buy,2023-10-23,407
IP,Buy,2023-10-23,33.07
UBER,Buy,2023-10-20,42.72
WDC,Buy,2023-10-20,43.01
AVY,Buy,2023-10-20,177.28
TT,Buy,2023-10-20,190.29
TSLA,Buy,2023-10-20,217.01
ROK,Buy,2023-10-20,271.33
CARR,Buy,2023-10-19,49.91
CRL,Buy,2023-10-19,185.74
ALLE,Buy,2023-10-19,99.15
ETN,Buy,2023-10-19,202.1
JBHT,Buy,2023-10-19,179.42
ZTS,Buy,2023-10-19,169.86
PNC,Buy,2023-10-16,117.92
HPE,Buy,2023-10-16,16.63
TYL,Buy,2023-10-16,377.55
FDX,Buy,2023-10-16,244.26
BKNG,Buy,2023-10-16,2973.7
IEX,Buy,2023-10-16,201.89
EBAY,Buy,2023-10-16,42.14
AMCR,Buy,2023-10-13,8.71
ISRG,Buy,2023-10-13,266.83
TMO,Buy,2023-10-13,479.63
FIS,Buy,2023-10-10,52.29
HAS,Buy,2023-10-06,59.54
TAP,Buy,2023-10-06,58.78
EMR,Buy,2023-10-06,93.39
F,Buy,2023-10-06,11.82
KHC,Buy,2023-10-06,32.13
XOM,Buy,2023-10-05,109.8
TRGP,Buy,2023-10-05,77.97
COP,Buy,2023-10-05,112.51
HAL,Buy,2023-10-05,38.03
FANG,Buy,2023-10-05,143.38
HES,Buy,2023-10-05,142.06
CVX,Buy,2023-10-05,161.42
OXY,Buy,2023-10-05,59.7
SLB,Buy,2023-10-05,55.53
JNPR,Buy,2023-10-05,27.05
MRO,Buy,2023-10-05,24.04
BX,Buy,2023-10-04,103.49
WFC,Buy,2023-10-04,38.51
GS,Buy,2023-10-04,304.85
LULU,Buy,2023-10-04,367.76
REGN,Buy,2023-10-04,809.16
MET,Buy,2023-10-04,60.16
MPC,Buy,2023-10-04,144.85
MS,Buy,2023-10-04,78.1
HIG,Buy,2023-10-04,69.68
VLO,Buy,2023-10-04,131.27
EPAM,Buy,2023-10-04,240.78
PSX,Buy,2023-10-04,113.16
DPZ,Buy,2023-10-04,365.72
PRU,Buy,2023-10-04,91.32
VTR,Buy,2023-10-04,40.3
ED,Buy,2023-10-03,81.2
BKR,Buy,2023-10-03,34.32
CINF,Buy,2023-10-03,99.94
CPB,Buy,2023-10-03,39.29
RSG,Buy,2023-10-03,140.82
ETR,Buy,2023-10-03,87.93
OKE,Buy,2023-10-03,61.37
DOV,Buy,2023-10-03,137.17
XEL,Buy,2023-10-03,54.42
AJG,Buy,2023-10-03,225.05
CEG,Buy,2023-10-03,103.21
DHR,Buy,2023-10-03,212.68
PCG,Buy,2023-10-03,15
SO,Buy,2023-10-03,62.3
DUK,Buy,2023-10-03,85
BRK-B,Buy,2023-10-02,349.64
AON,Buy,2023-10-02,323.9
MMC,Buy,2023-10-02,189.41
VRSK,Buy,2023-10-02,235.31
WM,Buy,2023-10-02,152.82
CNP,Buy,2023-09-29,26.92
MU,Buy,2023-09-29,66.36
SRE,Buy,2023-09-29,68.43
LNT,Buy,2023-09-28,48.87
VZ,Buy,2023-09-28,32.4
BSX,Buy,2023-09-28,52.42
BR,Buy,2023-09-28,180.95
NEM,Buy,2023-09-28,37.1
MRK,Buy,2023-09-28,104.57
WELL,Buy,2023-09-28,80.9
NEE,Buy,2023-09-28,60.3
GNRC,Buy,2023-09-27,108.68
NI,Buy,2023-09-27,25.79
CTAS,Buy,2023-09-27,481.92
AMZN,Buy,2023-09-27,125.76
ROP,Buy,2023-09-27,486.15
CPAY,Buy,2023-09-27,262.66
EIX,Buy,2023-09-27,65.68
IRM,Buy,2023-09-27,60.06
SYK,Buy,2023-09-27,274
GOOGL,Buy,2023-09-27,128.57
ANSS,Buy,2023-09-27,296.25
GOOG,Buy,2023-09-27,129.44
BRO,Buy,2023-09-27,70.96
CRM,Buy,2023-09-27,202.99
FFIV,Buy,2023-09-27,156.53
BG,Buy,2023-09-27,109.32
FICO,Buy,2023-09-27,870.42
CPRT,Buy,2023-09-27,43.04
FITB,Buy,2023-09-27,25.41
IBM,Buy,2023-09-27,143.67
CDW,Buy,2023-09-27,200.38
CAT,Buy,2023-09-27,271
EXC,Buy,2023-09-27,39.12
GE,Buy,2023-09-27,110.63
PG,Buy,2023-09-26,149.98
MMM,Buy,2023-09-26,78.9
TJX,Buy,2023-09-26,88.4
AXON,Buy,2023-09-26,190.64
BBWI,Buy,2023-09-25,32.68
RCL,Buy,2023-09-25,90.45
MA,Buy,2023-09-25,400.6
MSFT,Buy,2023-09-25,316.59
RJF,Buy,2023-09-25,100.5
LDOS,Buy,2023-09-22,92.3
APA,Buy,2023-09-22,40.56
MAR,Buy,2023-09-22,195.22
STE,Buy,2023-09-22,220.67
LYB,Buy,2023-09-22,95.77
LIN,Buy,2023-09-22,370.86
APH,Buy,2023-09-22,83.41
GPN,Buy,2023-09-22,119.83
INTU,Buy,2023-09-22,504
NVR,Buy,2023-09-22,5928
PLD,Buy,2023-09-22,114.55
ADSK,Buy,2023-09-22,204.55
AXP,Buy,2023-09-22,155
CMG,Buy,2023-09-22,1868.27
YUM,Buy,2023-09-22,124.65
INVH,Buy,2023-09-22,33
ALB,Buy,2023-09-22,172.15
VICI,Buy,2023-09-22,30.13
HUBB,Buy,2023-09-22,304.01
NOW,Buy,2023-09-22,551.78
DVN,Buy,2023-09-22,46.82
IR,Buy,2023-09-22,64.06
EXPD,Buy,2023-09-22,113.12
NDAQ,Buy,2023-09-22,48.88
DOW,Buy,2023-09-22,51.1
WST,Buy,2023-09-22,374
MSCI,Buy,2023-09-22,515.56
EQIX,Buy,2023-09-22,735
BXP,Buy,2023-09-22,60.95
AVGO,Buy,2023-09-22,811.24
EFX,Buy,2023-09-22,186.02
EOG,Buy,2023-09-22,123.47
MCO,Buy,2023-09-22,324.28
TTWO,Buy,2023-09-22,136.99
CSCO,Buy,2023-09-22,53.4
V,Buy,2023-09-22,236.75
FTV,Buy,2023-09-22,73.77
DLR,Buy,2023-09-22,124.4
NVDA,Buy,2023-09-22,415.72
TROW,Buy,2023-09-22,106.4
CTSH,Buy,2023-09-22,69.18
SPGI,Buy,2023-09-22,372.57
ICE,Buy,2023-09-22,111.84
ROST,Buy,2023-09-21,114.5
CTRA,Buy,2023-09-21,27.01
IQV,Buy,2023-09-21,204.08
DAY,Buy,2023-09-21,67.5
PXD,Buy,2023-09-21,229.57
EQT,Buy,2023-09-21,40.16
LOW,Buy,2023-09-21,213.01
CZR,Buy,2023-09-20,49.95
HD,Buy,2023-09-19,315.95
NWS,Buy,2023-09-19,20.68
INCY,Buy,2023-09-19,59.53
PWR,Buy,2023-09-19,197.39
LRCX,Buy,2023-09-18,620.77
O,Buy,2023-09-18,54.36
ADP,Buy,2023-09-18,246.16
KLAC,Buy,2023-09-18,455.43
AMAT,Buy,2023-09-18,137.88
ECL,Buy,2023-09-15,177.65
MTCH,Buy,2023-09-14,42.89
CLX,Buy,2023-09-14,147.65
SBAC,Buy,2023-09-14,214.05
NWSA,Buy,2023-09-14,20.45
CBRE,Buy,2023-09-14,79.65
HCA,Buy,2023-09-13,260.27
MHK,Buy,2023-09-13,92.44
ORCL,Buy,2023-09-13,108.32
GEN,Buy,2023-09-12,19.13
NUE,Buy,2023-09-12,162.22
VFC,Buy,2023-09-12,17.6
ALGN,Buy,2023-09-11,335
IDXX,Buy,2023-09-11,469.26
QCOM,Buy,2023-09-08,106.17
MOS,Buy,2023-09-08,36.94
ESS,Buy,2023-09-08,229.53
RVTY,Buy,2023-09-08,109.86
DVA,Buy,2023-09-08,95.44
PFG,Buy,2023-09-08,74.69
J,Buy,2023-09-07,132
OKE,Buy,2023-09-07,63.42
LMT,Buy,2023-09-07,424
RHI,Buy,2023-09-07,71.92
KMI,Buy,2023-09-07,16.69
BIO,Buy,2023-09-07,368.06
PFE,Buy,2023-09-07,34.47
BDX,Buy,2023-09-07,266.98
GD,Buy,2023-09-07,218.88
WMB,Buy,2023-09-07,33.87
AMGN,Buy,2023-09-07,250.54
LNT,Buy,2023-09-06,49.35
BAX,Buy,2023-09-06,38.84
ABT,Buy,2023-09-06,101.01
ATO,Buy,2023-09-06,112.17
AWK,Buy,2023-09-06,136.87
GWW,Buy,2023-09-06,693.48
FAST,Buy,2023-09-06,55.81
PPL,Buy,2023-09-06,24.41
GL,Buy,2023-09-06,108.93
ED,Buy,2023-09-06,86.83
KDP,Buy,2023-09-06,33.07
ETR,Buy,2023-09-06,92.87
UNP,Buy,2023-09-06,215.83
VTRS,Buy,2023-09-06,10.56
CNP,Buy,2023-09-06,27.39
EIX,Buy,2023-09-06,67.34
WAB,Buy,2023-09-06,109.17
CMCSA,Buy,2023-09-06,44.48
TSN,Buy,2023-09-05,52.5
PARA,Buy,2023-09-05,13.6
AEE,Buy,2023-09-05,78.32
CMS,Buy,2023-09-05,55.18
DUK,Buy,2023-09-05,87.78
WBD,Buy,2023-09-05,11.59
FOXA,Buy,2023-09-05,30.9
FOX,Buy,2023-09-05,28.64
KO,Buy,2023-09-01,60
LH,Buy,2023-09-01,208.8
RSG,Buy,2023-09-01,144.43
CNC,Buy,2023-09-01,61.95
HUM,Buy,2023-09-01,464
PCAR,Buy,2023-08-31,83.1
SHW,Buy,2023-08-28,264.57
ELV,Buy,2023-08-28,453.21
BA,Buy,2023-08-25,218.41
HLT,Buy,2023-08-25,147.34
DIS,Buy,2023-08-25,83.07
EOG,Buy,2023-08-25,126.41
DECK,Buy,2023-08-25,523.99
LULU,Buy,2023-08-25,362.06
CF,Buy,2023-08-24,73.91
DD,Buy,2023-08-23,74.66
FDX,Buy,2023-08-23,258.76
BK,Buy,2023-08-23,42.95
KMX,Buy,2023-08-23,78.76
BBY,Buy,2023-08-23,73.91
WRB,Buy,2023-08-23,60.63
ADM,Buy,2023-08-23,80.55
PHM,Buy,2023-08-22,77.96
IVZ,Buy,2023-08-22,15.06
PKG,Buy,2023-08-22,145.53
JNJ,Buy,2023-08-22,166.86
