,Ticker,Buy Date,Buy Price,Buy P/E Ratio,Buy Fwd P/E Ratio,Buy P/B Ratio,Buy RSI,Buy Upper BB,Buy Bollinger %b,Buy Lower BB,Buy vol,Buy Z Score,Buy MACD,Buy VWAP,Buy OBV,Buy Stoch,Buy Awesome Oscillator,Buy Ultimate Oscillator,Buy TSI,Buy Acum/Dist,Sell Date,Sell Price,Sell P/E Ratio,Sell Fwd P/E Ratio,Sell P/B Ratio,Sell RSI,Sell Upper BB,Sell Bollinger %b,Sell Lower BB,Sell vol,Sell Z Score,Sell MACD,Sell VWAP,Sell OBV,Sell Stoch,Sell Awesome Oscillator,Sell Ultimate Oscillator,Sell TSI,Sell Acum/Dist,Profit,Profit %,Duration,Ticker Cum Profit,Ticker Cum Profit %,Profitable
0,ARE,2023-08-16,116.3,240.0,37.241383,1.2061874,24.125903787502068,123.94814322413703,-0.031625743815900186,113.165856775863,2.695571612068505,-2.072658717351869,-0.9625328274348238,120.95949499139749,-580900,-26.513213981244657,-0.18585294117646356,-17.334388098086826,-0.15112125600797707,-294328677.9106723,2023-11-15,105.31,240.0,37.241383,1.2061874,71.3829556895599,103.11250239576509,1.0427890953616414,86.32849760423491,4.196001197882544,2.1161814740379277,1.2084070177709807,97.40282422287694,-3439300,71.93963107881493,1.4883823529411728,23.605403912980268,2.1290645517873874,-461958070.13430077,-10.989999999999995,-9.45,91,-10.989999999999995,-9.45,No
0,ALGN,2023-09-11,335.0,56.743984,31.452381,6.829273,26.805933957520026,380.9868093546471,0.05480209147665254,331.93919064535294,12.261904677323532,-1.7357009828464565,-3.434067177638723,356.6652280787575,-4383200,10.635481023830526,-6.991499999999974,33.99448833307235,-3.5885329574675975,4654816.070315417,2023-12-14,245.0,56.743984,31.452381,6.829273,89.22198601306643,239.80605183566178,1.4302723938439057,197.48194816433812,10.581025917830916,3.6268694829798713,4.7575099534120575,225.48747738984915,-12197200,85.72237960339942,18.559058823529426,71.03551513930529,8.598988746938776,-309035.97327003465,-90.0,-26.87,94,-90.0,-26.87,No
0,ALLE,2023-10-19,99.15,21.875818,17.803192,8.886825,23.924328334962624,106.30120697247796,-0.22096853788951829,99.25779302752207,1.7608534862389718,-2.810852827154695,-0.19990895526046248,103.11222256080057,3119000,-2.293577981651409,-2.2972058823529267,15.944750325825405,-17.26846845044336,-136224376.20772335,2023-11-15,106.38,21.875818,17.803192,8.886825,83.40776242004586,105.51648694502148,1.0433800918357488,93.24451305497854,3.067993472510736,2.1184856024745793,1.0140581534781539,100.79118404202387,8637000,86.85363716038562,2.009088235294115,35.142224413041596,7.956682625447055,-150650187.85388717,7.22999999999999,7.29,27,7.22999999999999,7.29,Yes
0,LNT,2023-09-06,49.35,17.982016,15.240854,1.8890527,33.123090134806645,50.86784615249232,0.11754337311700361,48.33815384750767,0.6324230762461613,-1.4910904352151582,-0.04338240464317111,49.957239101717306,-3626600,4.460966542750838,-1.9895882352941143,-6.965245517808889,-26.232464593184414,-473433629.1457914,2023-09-14,51.77,17.982016,15.240854,1.8890527,78.97289756725213,50.79378746741393,1.1419802512412895,48.35821253258607,0.6088937337069639,2.5028997929110584,0.2686897882246398,50.136564980624726,2532700,71.11111111111114,-0.10114705882352837,18.016688247794246,-5.9559151413560745,-500323330.25915974,2.4200000000000017,4.9,8,2.4200000000000017,4.9,Yes
1,LNT,2023-09-28,48.87,17.982016,15.240854,1.8890527,12.333153078611517,52.06858562769011,-0.039395005486949186,47.27341437230989,1.1987928138450559,-2.1029488756393566,-0.30427289065344454,50.59759776353454,-10522300,-13.713080168776335,-0.8257352941176421,-22.12958625708876,-16.139052095552888,-554761077.3908967,2023-11-03,52.79,17.982016,15.240854,1.8890527,79.64477932623018,50.07680460411747,1.1988181031801808,47.18819539588253,0.7221523020587333,2.724494534450688,0.257346702588468,49.39565978189772,9363500,54.564315352697136,0.3444411764705819,13.798744161031363,5.49884641050041,-629369339.6347377,3.9200000000000017,8.02,36,6.340000000000003,12.85,Yes
2,LNT,2024-01-18,49.29,17.982016,15.240854,1.8890527,18.38508183054624,52.35906027344955,-0.05614309423387379,48.72293972655044,0.9090301367247766,-2.1682449463133127,-0.3255529469228997,50.81839712000944,-5459900,-1.8817204301075352,-1.1086470588235287,-4.350109889511535,-6.936214022970397,-741120331.7165455,2024-04-01,50.61,17.982016,15.240854,1.8890527,59.27360780351171,50.08141684461533,0.832183617373031,47.80358315538467,0.5694584223076664,1.295090161299856,0.13811592625876995,48.91885415389645,3977500,67.3684210526316,0.6877647058823513,50.34853310152108,9.197135925459145,-755150159.323814,1.3200000000000003,2.68,74,7.660000000000004,15.52,Yes
0,ALL,2023-07-14,104.85,0.0,0.0,0.0,18.517778303317357,110.31578529252894,-0.3309582511176239,101.76121470747105,2.138642646264475,-3.239671673106245,-0.5008948884968798,106.74849184297081,-25383400,-17.270194986072426,-2.915323529411779,-16.3342254833021,-22.152140691625263,-359218312.21476334,2023-09-20,113.97,0.0,0.0,0.0,74.29172021341826,112.48343298996876,1.0374695969644938,101.31156701003123,2.792966494984387,2.0954422512801116,0.7183798881630332,109.25228363647093,-20432500,69.41649899396376,2.7601764705882488,23.561007912404328,11.535896331758838,-485800998.7757241,9.120000000000005,8.7,68,9.120000000000005,8.7,Yes
1,ALL,2024-03-04,154.32,0.0,0.0,0.0,38.743647632835554,161.7981046476873,0.16833315184258804,155.2168953523127,1.6453023238436546,-1.2930754239925113,-0.8314886187124975,159.1056427585531,15452000,23.768939393939302,0.34947058823527755,25.73227645675563,14.687294267616716,-646117252.0629317,2024-03-18,161.33,0.0,0.0,0.0,77.53241512271151,162.48542023622045,1.0835197399461896,154.85457976377958,1.907710118110211,2.274978760556769,0.2606391240257069,158.93151384576527,28858700,96.61733615221965,1.3192352941176466,70.16749619245549,17.902953199382125,-632357762.3863732,7.010000000000019,4.54,14,16.130000000000024,15.38,Yes
0,GOOGL,2023-06-27,117.08,27.046633,19.974491,6.8856354,29.034347165243503,127.36698427579375,-0.05703781596533589,118.70201572420626,2.1662421378968713,-2.1717332137982712,-1.1043235049703788,122.44508055689857,13402300,17.233384853168502,-1.1600882352941255,44.367944530511004,5.313056119887437,60558318.045380235,2023-07-27,131.67,27.046633,19.974491,6.8856354,77.29256177148197,128.81374337600894,1.0554415998976303,114.64525662399106,3.5421216880044684,2.165510017901544,0.7569604540364113,123.05898232476464,271964500,78.53549468977081,2.958529411764715,45.60157604138936,11.380877650279388,-32040679.615300618,14.58999999999999,12.46,30,14.58999999999999,12.46,Yes
1,GOOGL,2023-09-27,128.57,27.046633,19.974491,6.8856354,37.94350133702136,140.6789394276782,0.13610823569616343,128.81606057232182,2.965719713839092,-1.4187112761756733,-1.1082613853158025,134.3282618775726,396130900,27.805695142378507,-2.7390000000000043,43.45596023687124,-0.9505009196609648,-19156417.82285682,2023-12-22,140.77,27.046633,19.974491,6.8856354,81.46606411585843,141.22310735436676,1.0334771429565326,127.85789264563326,3.3413036771833737,2.0798768000214323,0.8635043343288977,134.92804260995325,536728600,96.36098981077147,4.327588235294115,58.29023140546069,12.150418507647984,137280093.15825856,12.200000000000017,9.49,86,26.790000000000006,22.88,Yes
2,GOOGL,2024-02-29,137.28,27.046633,19.974491,6.8856354,39.43491231339513,149.5225649471797,0.16452973489382633,136.14543505282032,3.3442824735898418,-1.3079038731153674,-0.9502395725790469,141.69766806731172,706946400,21.739130434782687,-4.9157647058823954,44.82957859846372,-10.07169570934079,183969550.44516626,2024-03-19,148.16,27.046633,19.974491,6.8856354,73.7975259566419,148.27880349007526,0.943502074972258,129.84019650992477,4.609651745037628,1.729089406500257,1.44558017043284,138.78176604785943,743239900,76.16387337057728,3.058294117647108,55.26264942614474,3.127237989283222,117290445.03549658,10.879999999999995,7.93,19,37.67,32.17,Yes
